facecloth,khăn mặt,/ˈfeɪs.klɒθ/
washcloth,facecloth,/ˈwɒʃ.klɒθ/
hand towel,khăn lau tay,/hænd taʊəl/
bath towel,khăn tắm,/bɑːθ taʊəl/
towel rack,giá treo khăn,/taʊəl ræk/
toilet brush,bàn chải toilet ,/ˈtɔɪ.lət brʌʃ/
toilet paper,giấy toilet ,/ˈtɔɪ.lət ˈpeɪ.pər/
toilet paper holder,giá giữ giấy toilet,/ˈtɔɪ.lət ˈpeɪ.pər ˈhəʊl.dər/
air freshener,hộp khử mùi,/eər /
toilet seat,bệ toilet ,/ˈtɔɪ.lət siːt/
toilet tank,bể nước toilet,/ˈtɔɪ.lət tæŋk/
toilet,toilet,/ˈtɔɪ.lət/
plunger,cây thông cống,/ˈplʌn.dʒər/
vanity,bàn trang điểm,/ˈvæn.ə.ti/
water pik,máy xúc miệng,/ˈwɔː.tər /
bath rug,thảm phòng tắm,/bɑːθ rʌɡ/
rubber mat,thảm cao su,/ˈrʌb.ər mæt/
drain,cống,/dreɪn/
tub,bồn tắm,/tʌb/
bathtub,tub,/ˈbɑːθ.tʌb/
shower curtain,rèm bồn tắm,/ʃaʊər ˈkɜː.tən/
shower curtain rings,móc treo rèm bồn tắm ,/ʃaʊər ˈkɜː.tən rɪŋ/
shower head,đầu vòi sen,/ʃaʊər hed/
shower curtain rod,Cây treo rèm bồn tắm,/ʃaʊər ˈkɜː.tən rɒd/
shower,Vòi sen,/ʃaʊər/
wastebasket,thùng rác,/ˈweɪstˌbɑː.skɪt/
soap dispenser,máy tạo xà phòng,/səʊp dɪˈspen.sər/
soap dish,khay đựng xà phòng,/səʊp dɪʃ/
soap,xà phòng,/səʊp/
toothbrush holder,kệ đựng bàn chải đánh răng,/ˈtuːθ.brʌʃ ˈhəʊl.dər/
toothbrush,bàn chải đánh răng,/ˈtuːθ.brʌʃ/
cold water faucet,vòi nước lạnh,/kəʊld ˈwɔː.tər ˈfɔː.sɪt/
hot water faucet,vòi nước nóng,/hɒt ˈwɔː.tər ˈfɔː.sɪt/
medicine chest,Tủ thuốc ,/ˈmed.ɪ.sən tʃest/
medicine cabinet,medicine chest,/ˈmed.ɪ.sən ˈkæb.ɪ.nət/
fan,quạt ,/fæn/
hair dryer,máy sấy tóc,/heər ˈdraɪ.ər/
shelf,kệ,/ʃelf/
scale,cái cân,/skeɪl/
hamper,giỏ,/ˈhæm.pər/
