wall unit,tủ trưng đồ giải trí (2),/wɔːl ˈjuː.nɪt/
wall,bức tường,/wɔːl/
pillow,cái gối,/ˈpɪl.əʊ/
couch,ghế sofa,/kaʊtʃ/
sofa,ghế sofa (2),/ˈsəʊ.fə/
curtains,rèm cửa,/ˈkɜː.tən/
drapes,màn,/dreɪp/
lampshade,nón đèn,/ˈlæmp.ʃeɪd/
lamp,đèn ngủ,/læmp/
end table,bàn ngắn,/end ˈteɪ.bəl/
armchair,ghê bành,/ˈɑːm.tʃeər/
floor,sàn nhà,/flɔːr/
rug,tấm thảm,/rʌɡ/
bookcase,tủ sách,/ˈbʊk.keɪs/
photograph,bức ảnh (1),/ˈfəʊ.tə.ɡrɑːf/
picture,bức ảnh(2),/ˈpɪk.tʃər/
fireplace screen,Bức chắn lò sưởi,/ˈfaɪə.pleɪs skriːn/
fireplace,lò sưởi,/ˈfaɪə.pleɪs/
mantel,Mặt lò sưởi,//
frame,khung,/freɪm/
painting,bức tranh,/ˈpeɪn.tɪŋ/
plant,thực vật,/plɑːnt/
loveseat,ghế đôi,//
speaker,cái loa,/ˈspiː.kər/
stereo system,dàn âm thanh,/ˈster.i.əʊ ˈsɪs.təm/
video cassette recorder,đầu đĩa casset,/ˈvɪd.i.əʊ kəˈset rɪˈkɔː.dər/
television,tivi,/ˈtel.ɪ.vɪʒ.ən/
entertainment unit,tủ trưng đồ giải trí,/en.təˈteɪn.mənt ˈjuː.nɪt/
ceiling,trần nhà,/ˈsiː.lɪŋ/
window,cửa sổ,/ˈwɪn.dəʊ/
coffee table,bàn phòng khách,/ˈkɒf.i ˈteɪ.bəl/
