clothespins,kẹp phơi đồ,/ˈkloʊzˌpɪn/
clothesline,dây phơi áo quần,/ˈkləʊðz.laɪn/
recycling bin,thùng đựng đồ tái chế,/ˌriːˈsaɪ.klɪŋ bɪn/
garbage can,thùng rác,/ˈɡɑː.bɪdʒ kæn/
trash can,garbage can,/træʃ kæn/
window cleaner,nước chùi kính,/ˈwɪn.dəʊ ˈkliː.nər/
bucket,pail,/ˈbʌk.ɪt/
scrub brush,bàn chải chà,/skrʌb brʌʃ/
utility sink,bồn rửa tiện ích,/juːˈtɪl.ə.ti sɪŋk/
laundry bag,túi giặt,/ˈlɔːn.dri bæɡ/
laundry basket,giỏ đựng đồ giặt,/ˈlɔːn.dri ˈbɑː.skɪt/
hanger,móc treo đồ,/ˈhæŋ.ər/
paper towels,khăn giấy,/ˈpeɪ.pər taʊəl/
floor wax,sáp lau sàn,/flɔːr wæks/
furniture polish,chất đánh bóng đồ gỗ,/ˈfɜː.nɪ.tʃər ˈpɒl.ɪʃ/
ammonia,chất amoniac ,/əˈməʊ.ni.əm/
pail,cái xô,/peɪl/
cleanser,sửa rửa mặt,/ˈklen.zər/
static cling remover,chất chùi vật bám cứng đầu,/ˈstæt.ɪk klɪŋ rɪˈmuː.vər/
starch,tinh bột,/stɑːtʃ/
bleach,thuốc tẩy,/bliːtʃ/
fabric softener,nước xả,/ˈfæb.rɪk ˈsɒf.ən.ər/
laundry detergent,bột giặt,/ˈlɔːn.dri dɪˈtɜː.dʒənt/
dryer,máy sấy,/ˈdraɪ.ər/
washer,máy giặt,/ˈwɒʃ.ər/
washing machine,washer,/ˈwɒʃ.ɪŋ məˈʃiːn/
mop,chổi lau nhà,/mɒp/
hand vacuum,máy hút bụi cầm tay,/hænd ˈvæk.juːm/
vacuum cleaner bag,túi máy hút bụi,/ˈvæk.juːm ˈkliː.nər bæɡ/
vacuum cleaner attachments,"",/ˈvæk.juːm ˈkliː.nər əˈtætʃ.mənt/
vacuum cleaner,máy hút bụi,/ˈvæk.juːm ˈkliː.nər/
carpet sweeper,chổi máy quét thảm,/ˈkɑː.pɪt ˈswiː.pər/
ironing board,bàn để đồ ủi,/ˈaɪə.nɪŋ bɔːd/
dust cloth,giẻ lau bụi,/dʌst klɒθ/
feather duster,chổi lông gà,/ˈfeð.ər ˈdʌs.tər/
whisk broom,chổi cán ngắn,/wɪsk bruːm/
dustpan,cái hót rác,/ˈdʌst.pæn/
broom,chổi lông gà,/bruːm/
