give the answer,trả lời câu hỏi ,/ɡɪv ðiː ˈɑːn.sər/
write your name,viết tên của bạn,/raɪt jɔːr neɪm/
erase your name,xoá tên,/ɪˈreɪz jɔːr neɪm/
close your book,đóng sách của bạn,/kləʊz jɔːr bʊk/
work in groups,làm việc nhóm,/wɜːk ɪn ɡruːp/
sit down,ngồi xuống,/sɪt daʊn/
take your seat,lấy ghế của bạn,/teɪk jɔːr siːt/
put away your book,cất sách của bạn,/pʊt əˈweɪ jɔːr bʊk/
help each other,giúp đỡ lẫn nhau,/help iːtʃ ˈʌð.ər/
do your homework,làm bài tập về nhà,/də jɔːr ˈhəʊm.wɜːk/
take out a piece of paper,lấy 1 phần cuốn vở (xé 1 tờ giấy ),/teɪk aʊt ə piːs əv ˈpeɪ.pər/
lower the shades,Kéo rèm của sổ ( theo phương dọc),/ˈləʊ.ər ðiː ʃeɪd/
bring in your homework,mang bài tập của bạn,/brɪŋ ɪn jɔːr ˈhəʊm.wɜːk/
pass out the tests,vượt qua bài kiểm tra,/pɑːs aʊt ðiː test/
go over the answers,dò đáp án,/ɡəʊ ˈəʊ.vər ðiː ˈɑːn.sər/
answer the questions,trả lời câu hỏi,/ˈɑːn.sər ðiː ˈkwes.tʃən/
turn on the projector,bật máy chiếu,/tɜːn ɒn ðiː prəˈdʒek.tər/
correct your mistakes,sửa câu hỏi,/kəˈrekt jɔːr mɪˈsteɪk/
check your answers,kiểm tra đáp án,/tʃek jɔːr ˈɑːn.sər/
watch the movie,xem phim,/wɒtʃ ðiː ˈmuː.vi/
hand in your homework,cầm bài tập về nhà,/hænd ɪn jɔːr ˈhəʊm.wɜːk/
collect the tests,tập hợp (thu) bài kiểm tra,/kəˈlekt ðiː test/
take notes,ghi chú,/teɪk nəʊt/
study page eight,học trang thứ 8,/ˈstʌd.i peɪdʒ eɪt/
stand up,đứng dậy,/stænd ʌp/
open your book,mở sách,/ˈəʊ.pən jɔːr bʊk/
listen to the question,nghe câu hỏi,/ˈlɪs.ən tuː ðiː ˈkwes.tʃən/
go to the board,lên bảng,/ɡəʊ tuː ðiː bɔːd/
read page eight,đọc trang thứ 8,/riːd peɪdʒ eɪt/
raise your hand,dơ tay,/reɪz jɔːr hænd/
turn off the lights,tắt đèn,/tɜːn ɒf ðiː laɪt/
