garbage pail,Thùng rác,/ˈɡɑː.bɪdʒ peɪl/
kitchen chair,ghê phòng bếp,/ˈkɪtʃ.ən tʃeər/
placemat,miếng vãi lót dĩa ( ở bàn ăn ),//
kitchen table,bàn phòng bếp,/ˈkɪtʃ.ən ˈteɪ.bəl/
ice maker,ngăn đông đá,/aɪs ˈmeɪ.kər/
ice tray,khay đá,/aɪs treɪ/
freezer,ngăn lạnh,/ˈfriː.zər/
spice rack,giá đựng gia vị,/spaɪs ræk/
refrigerator,tủ lạnh,/rɪˈfrɪdʒ.ər.eɪ.tər/
cookbook,sách hướng dẫn nấu ăn,/ˈkʊk.bʊk/
can opener,đồ khui hộp,/kæn ˈəʊ.pən.ər/
potholder,giẻ nhấc nồi,/ˈpɒtˌhəʊl.dər/
toaster,lò nướng bánh,/ˈtəʊ.stər/
burner,nơi tạo lửa,/ˈbɜː.nər/
oven,lò nướng,/ˈʌv.ən/
canister,hộp đựng gia vị,/ˈkæn.ɪ.stər/
range,stove,/reɪndʒ/
stove,bếp ga,/stəʊv/
trash compactor,máy ép rác,/træʃ kəmˈpæk.tər/
cutting board,thớt,/ˈkʌt.ɪŋ bɔːd/
counter,bề mặt chỗ nấu ăn,/ˈkaʊn.tər/
cabinet,tủ,/ˈkæb.ɪ.nət/
paper towel holder, giá treo khăn giấy,/ˈpeɪ.pər taʊəl ˈhəʊl.dər/
dish towel,khăn sạch lau bát dĩa,/dɪʃ taʊəl/
dish rack,khay đựng chén đĩa,/dɪʃ ræk/
microwave,lò vi sóng,/ˈmaɪ.krə.weɪv/
pot scrubber,miếng chùi xoong,/pɒt ˈskrʌb.ər/
scouring pad,miếng rửa chén,/ pæd/
sponge,miếng bọt biển (rửa bát),/spʌndʒ/
disposal,máy nghiền rác,/dɪˈspəʊ.zəl/
sink,bồn rửa bát,/sɪŋk/
faucet, vòi nước,/ˈfɔː.sɪt/
dishwashing liquid,nước rửa chén,/ ˈlɪk.wɪd/
dishwasher detergent,chất tẩy bát đĩa (dùng cho máy rửa chén),/ˈdɪʃˌwɒʃ.ər dɪˈtɜː.dʒənt/
dishwasher,máy rửa chén,/ˈdɪʃˌwɒʃ.ər/
refrigerator magnet,nam châm gắn tủ lạnh,/rɪˈfrɪdʒ.ər.eɪ.tər ˈmæɡ.nət/
