butter knife,dao cắt bơ ( dao nhỏ ),/ˈbʌt.ər naɪf/
soup spoon,muỗng ăn soup,/suːp spuːn/
teaspoon,muỗng uống trà,/ˈtiː.spuːn/
knife,dao,/naɪf/
dinner fork,nĩa ăn bữa chính,/ˈdɪn.ər fɔːk/
salad fork,nĩa ăn salad,/ˈsæl.əd fɔːk/
saucer,dĩa để dưới tách,/ˈsɔː.sər/
cup,cốc,/kʌp/
wine glass,ly uống rượu,/waɪn ɡlɑːs/
water glass,ly uông nước,/ˈwɔː.tər ɡlɑːs/
soup bowl,chén ăn soup,/suːp bəʊl/
dinner plate,đĩa ăn,/ˈdɪn.ər pleɪt/
bread-and-butter plate,đĩa để bơ hoăc bánh mì,/ pleɪt/
salad plate,đĩa chứa salad,/ˈsæl.əd pleɪt/
napkin,khăn ăn,/ˈnæp.kɪn/
